[05/12/18 18:39:29] [INFO] received Windows console close event; shutting log-core down
[05/12/18 19:01:22] [INFO] received Windows console close event; shutting log-core down
[05/12/18 19:43:57] [INFO] received Windows console close event; shutting log-core down
[05/12/18 20:16:48] [INFO] received Windows console close event; shutting log-core down
[05/12/18 20:24:06] [INFO] received Windows console close event; shutting log-core down
[05/12/18 22:36:25] [INFO] received Windows console close event; shutting log-core down
[05/12/18 22:45:17] [INFO] received Windows console close event; shutting log-core down
[05/12/18 22:57:47] [INFO] received Windows console close event; shutting log-core down
[05/12/18 23:21:47] [INFO] received Windows console close event; shutting log-core down
[05/12/18 23:32:15] [INFO] received Windows console close event; shutting log-core down
[05/13/18 10:27:55] [INFO] received Windows console close event; shutting log-core down
[05/13/18 15:53:19] [INFO] received Windows console close event; shutting log-core down
[05/13/18 16:05:28] [INFO] received Windows console close event; shutting log-core down
[05/13/18 16:06:52] [INFO] received Windows console close event; shutting log-core down
[05/13/18 16:31:29] [INFO] received Windows console close event; shutting log-core down
[05/13/18 16:40:06] [INFO] received Windows console close event; shutting log-core down
[05/19/18 13:17:22] [INFO] received Windows console close event; shutting log-core down
[05/20/18 12:50:58] [INFO] received Windows console close event; shutting log-core down
[05/28/18 15:14:17] [INFO] received Windows console close event; shutting log-core down
[05/31/18 19:32:55] [INFO] received Windows console close event; shutting log-core down
[05/31/18 19:33:15] [INFO] received Windows console close event; shutting log-core down
[05/31/18 19:33:25] [INFO] received Windows console close event; shutting log-core down
